PK,ID,InputID,ParticleID,SigmaV,Temperature,ScaleFactorID
610,5445a481-6a57-4e7f-972f-b81d0fec368e,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.44523648492677e-20,357648.13326988,556e7870-0ab0-452b-92df-1dcf7c239d63
615,4a01d22a-489c-4e0c-954c-83c5dee7b0ae,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.3054067832008e-20,315722.329784631,534f9cd7-67aa-4318-8133-abd4aae82349
620,9ae477c6-b491-4dde-a5c1-7ab41a64a97c,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,3.84645853230849e-20,275863.179614486,7473e504-54dd-4b0a-bfe4-00ae390f6ddc
625,f25fcf50-d166-41b2-b7d3-d60ca76f0188,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,6.85104657643118e-20,241566.769019223,54bb30a5-ba85-4d65-b7b1-20f455268c68
630,98c99964-2b3b-49d2-99c1-83e11db378a3,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,9.69999029423693e-20,211386.483346672,39cbff1b-2993-4a38-b636-d556dd44435a
635,e9c54f5b-947f-414e-9a16-8a2f7d33d03d,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.83529716524324e-19,186275.231901901,3b5beb00-ffbd-41b5-a2ca-1a3c37352615
640,c2a6b6cf-9e4e-4c02-98b8-b1006a5ce398,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,3.14474248072385e-19,162818.024783747,2ddccd5b-8fe0-45f7-9d16-d4ab02e2361d
645,ba239837-e0d5-4703-aabe-8dd84eadad5d,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,5.01571844845546e-19,145102.736976363,5e895b64-07d6-487f-9131-beed3c51286f
650,b57db6e3-f7b9-4418-99d6-2cf0499846a3,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,7.70203101418216e-19,128000.427524825,867cbe54-8632-4a15-a7c4-802ab85b0272
655,0f2fec62-4280-473b-8106-0a6931238838,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.33040054077971e-18,112357.016993935,1237bf39-5892-499c-8f46-1cb046d50563
